run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,79.81,0.0,0.0,0.0,0.0
0,0,1,83.86,0.0,0.0,0.0,0.0
0,0,2,83.27,0.0,0.0,0.0,0.0
0,0,3,82.67,0.0,0.0,0.0,0.0
0,0,4,81.87,0.0,0.0,0.0,0.0
0,0,5,80.21,0.0,0.0,0.0,0.0
0,1,0,70.32,53.32,0.0,0.0,0.0
0,1,1,71.38,51.53,0.0,0.0,0.0
0,1,2,71.31,50.73,0.0,0.0,0.0
0,1,3,71.71,50.0,0.0,0.0,0.0
0,1,4,70.25,52.66,0.0,0.0,0.0
0,1,5,70.85,52.26,0.0,0.0,0.0
0,2,0,76.69,22.61,37.63,0.0,0.0
0,2,1,76.89,23.2,37.3,0.0,0.0
0,2,2,76.76,23.6,35.97,0.0,0.0
0,2,3,76.89,23.4,34.38,0.0,0.0
0,2,4,76.83,23.34,33.71,0.0,0.0
0,2,5,77.03,23.34,33.31,0.0,0.0
0,3,0,58.83,19.95,26.06,41.2,0.0
0,3,1,58.7,19.95,27.39,39.27,0.0
0,3,2,58.9,19.41,28.39,36.88,0.0
0,3,3,59.3,19.48,28.59,36.81,0.0
0,3,4,59.5,19.95,29.32,36.08,0.0
0,3,5,59.63,20.08,28.86,35.95,0.0
0,4,0,53.72,19.08,27.73,21.99,33.73
0,4,1,54.91,19.88,27.86,21.86,31.81
0,4,2,55.18,20.35,27.59,22.52,30.28
0,4,3,56.04,20.68,27.46,22.86,29.61
0,4,4,55.71,19.75,27.73,23.52,29.35
0,4,5,55.71,20.81,26.66,23.52,29.08
1,0,0,51.33,0.0,0.0,0.0,0.0
1,0,1,50.8,0.0,0.0,0.0,0.0
1,0,2,50.27,0.0,0.0,0.0,0.0
1,0,3,50.27,0.0,0.0,0.0,0.0
1,0,4,50.6,0.0,0.0,0.0,0.0
1,0,5,50.8,0.0,0.0,0.0,0.0
1,1,0,15.41,66.49,0.0,0.0,0.0
1,1,1,14.61,65.56,0.0,0.0,0.0
1,1,2,13.48,64.49,0.0,0.0,0.0
1,1,3,14.14,63.96,0.0,0.0,0.0
1,1,4,13.88,63.5,0.0,0.0,0.0
1,1,5,13.81,63.43,0.0,0.0,0.0
1,2,0,24.17,52.59,45.68,0.0,0.0
1,2,1,24.63,53.06,44.29,0.0,0.0
1,2,2,25.56,51.93,43.63,0.0,0.0
1,2,3,26.1,51.26,41.77,0.0,0.0
1,2,4,26.16,51.0,41.57,0.0,0.0
1,2,5,26.89,49.93,40.84,0.0,0.0
1,3,0,29.15,51.2,30.68,29.24,0.0
1,3,1,29.75,51.73,30.41,29.17,0.0
1,3,2,29.35,51.4,31.14,29.63,0.0
1,3,3,29.42,51.33,32.14,29.37,0.0
1,3,4,29.61,51.4,32.47,29.1,0.0
1,3,5,29.68,51.4,32.6,28.97,0.0
1,4,0,31.81,32.65,29.22,36.28,69.9
1,4,1,36.25,32.98,42.03,42.39,84.05
1,4,2,33.93,28.99,35.66,36.94,89.77
1,4,3,31.61,28.39,34.59,33.95,91.63
1,4,4,31.41,28.19,34.4,33.82,91.76
1,4,5,31.81,28.32,33.86,34.09,91.5
2,0,0,73.94,0.0,0.0,0.0,0.0
2,0,1,72.41,0.0,0.0,0.0,0.0
2,0,2,72.07,0.0,0.0,0.0,0.0
2,0,3,70.88,0.0,0.0,0.0,0.0
2,0,4,69.75,0.0,0.0,0.0,0.0
2,0,5,69.35,0.0,0.0,0.0,0.0
2,1,0,51.2,67.71,0.0,0.0,0.0
2,1,1,52.53,66.38,0.0,0.0,0.0
2,1,2,51.73,70.7,0.0,0.0,0.0
2,1,3,54.65,69.24,0.0,0.0,0.0
2,1,4,55.85,68.04,0.0,0.0,0.0
2,1,5,56.98,67.31,0.0,0.0,0.0
2,2,0,54.52,51.23,24.27,0.0,0.0
2,2,1,56.25,51.1,22.07,0.0,0.0
2,2,2,58.18,51.36,20.68,0.0,0.0
2,2,3,58.78,51.3,18.28,0.0,0.0
2,2,4,59.51,51.3,16.36,0.0,0.0
2,2,5,59.91,51.03,15.16,0.0,0.0
2,3,0,55.59,54.82,7.45,9.63,0.0
2,3,1,55.32,56.35,7.91,8.64,0.0
2,3,2,55.85,56.88,7.91,7.11,0.0
2,3,3,55.85,57.08,8.38,6.58,0.0
2,3,4,55.72,57.01,8.05,6.64,0.0
2,3,5,56.32,57.54,8.11,5.78,0.0
2,4,0,43.88,49.37,13.76,2.19,41.24
2,4,1,47.27,50.83,14.03,2.52,37.85
2,4,2,49.07,51.83,14.03,2.59,34.59
2,4,3,50.73,52.16,13.63,2.72,32.67
2,4,4,52.86,52.29,14.36,2.66,30.81
2,4,5,53.79,52.62,14.03,2.72,29.68
3,0,0,81.4,0.0,0.0,0.0,0.0
3,0,1,80.73,0.0,0.0,0.0,0.0
3,0,2,78.94,0.0,0.0,0.0,0.0
3,0,3,76.74,0.0,0.0,0.0,0.0
3,0,4,74.35,0.0,0.0,0.0,0.0
3,0,5,72.03,0.0,0.0,0.0,0.0
3,1,0,72.16,74.35,0.0,0.0,0.0
3,1,1,65.65,82.06,0.0,0.0,0.0
3,1,2,64.05,85.25,0.0,0.0,0.0
3,1,3,67.18,87.04,0.0,0.0,0.0
3,1,4,67.91,87.97,0.0,0.0,0.0
3,1,5,67.51,88.77,0.0,0.0,0.0
3,2,0,57.34,66.31,66.09,0.0,0.0
3,2,1,50.23,67.04,77.66,0.0,0.0
3,2,2,44.32,58.94,83.11,0.0,0.0
3,2,3,44.25,59.07,83.18,0.0,0.0
3,2,4,43.12,59.8,84.11,0.0,0.0
3,2,5,43.99,59.8,84.31,0.0,0.0
3,3,0,57.14,62.79,51.06,45.88,0.0
3,3,1,56.94,66.25,40.62,58.11,0.0
3,3,2,54.82,57.87,44.41,63.3,0.0
3,3,3,51.89,60.0,46.88,67.89,0.0
3,3,4,55.42,61.26,45.15,71.21,0.0
3,3,5,56.08,61.2,46.21,71.34,0.0
3,4,0,54.62,62.66,47.54,47.34,57.97
3,4,1,49.3,57.81,36.64,43.48,71.58
3,4,2,43.46,53.36,40.69,46.21,78.29
3,4,3,51.43,50.1,41.29,43.48,83.86
