task_1,task_2,task_3,task_4,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
62.9,0.0,0.0,0.0,0,0,15.725,62.9,0.0
61.38399999999999,0.0,0.0,0.0,0,1,15.345999999999998,61.38399999999999,1.5160000000000053
69.872,0.0,0.0,0.0,0,2,17.468,69.872,-6.972000000000001
82.128,0.0,0.0,0.0,0,3,20.532,82.128,-12.256
83.80799999999999,0.0,0.0,0.0,0,4,20.951999999999998,83.80799999999999,-1.6799999999999926
62.67999999999999,73.196,0.0,0.0,1,0,33.968999999999994,67.93799999999999,21.128
64.498,87.736,0.0,0.0,1,1,38.0585,76.117,2.384999999999991
66.78,92.974,0.0,0.0,1,2,39.938500000000005,79.87700000000001,5.894999999999996
68.186,94.786,0.0,0.0,1,3,40.743,81.486,6.904999999999994
67.592,95.286,0.0,0.0,1,4,40.7195,81.439,7.857999999999997
60.75,75.672,71.35,0.0,2,0,51.943,69.25733333333334,21.336
70.532,75.83,82.922,0.0,2,1,57.321,76.428,7.053333333333332
70.006,73.584,85.764,0.0,2,2,57.338499999999996,76.45133333333332,10.88733333333333
70.75399999999999,72.042,87.162,0.0,2,3,57.4895,76.65266666666666,11.633333333333331
65.578,75.694,91.6,0.0,2,4,58.217999999999996,77.624,11.128
67.476,72.28999999999999,71.818,74.088,3,0,71.418,71.418,19.703333333333333
63.16600000000001,62.32000000000001,62.141999999999996,87.89200000000001,3,1,68.88000000000001,68.88000000000001,17.31549999999999
63.484,69.836,67.166,88.53,3,2,72.25399999999999,72.25399999999999,17.392500000000002
68.946,75.32000000000001,70.584,90.622,3,3,76.36800000000001,76.36800000000001,13.437999999999995
68.408,77.236,71.814,91.56,3,4,77.25450000000001,77.25450000000001,13.074499999999997
